Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
7.25,TraderOne,Tick,0,25,-25,0,147200,146900,735,3674265,-3235,OK
7.5,TraderOne,Tick,0,25,-25,0,147200,146900,735,3674265,-3235,OK
7.797,TraderOne,Tick,0,25,-25,0,147200,146900,735,3674265,-3235,OK
8.0,TraderOne,Tick,0,25,-25,0,147200,146900,735,3674265,-3235,OK
8.282,TraderOne,Tick,0,25,-25,0,147000,146900,735,3674265,-735,OK
8.516,TraderOne,Tick,0,25,-25,0,147000,146900,735,3674265,-735,OK
8.75,TraderOne,Tick,0,25,-25,0,147000,146900,735,3674265,-735,OK
8.985,TraderOne,Tick,0,50,-50,0,146700,146900,1470,7348530,13530,OK
9.297,TraderOne,Tick,0,50,-50,0,146700,146900,1470,7348530,13530,OK
9.532,TraderOne,Tick,25,50,-25,0,146400,146900,2202,3687798,20298,OK
9.719,TraderOne,Tick,25,50,-25,0,146400,146900,2202,3687798,20298,OK
10.0,TraderOne,Tick,25,50,-25,0,146400,146900,2202,3687798,20298,OK
10.282,TraderOne,Tick,25,50,-25,0,146400,146900,2202,3687798,20298,OK
10.516,TraderOne,Tick,50,50,0,0,146400,146900,2934,27066,27066,OK
10.766,TraderOne,Tick,50,50,0,0,146400,147000,2934,27066,27066,OK
11.047,TraderOne,Tick,50,50,0,0,147300,147000,2934,27066,27066,OK
11.203,TraderOne,Tick,50,50,0,0,147300,147000,2934,27066,27066,OK
11.547,TraderOne,Tick,50,50,0,0,147300,147000,2934,27066,27066,OK
11.782,TraderOne,Tick,50,50,0,0,147400,147200,2934,27066,27066,OK
11.985,TraderOne,Tick,50,50,0,0,147400,147200,2934,27066,27066,OK
12.25,TraderOne,Tick,50,50,0,0,147400,147200,2934,27066,27066,OK
12.485,TraderOne,Tick,50,50,0,0,147400,147200,2934,27066,27066,OK
12.782,TraderOne,Tick,50,50,0,0,147400,147200,2934,27066,27066,OK
13.0,TraderOne,Tick,50,50,0,0,147400,147200,2934,27066,27066,OK
13.25,TraderOne,Tick,50,50,0,0,146600,147200,2934,27066,27066,OK
13.485,TraderOne,Tick,50,50,0,0,146600,147200,2934,27066,27066,OK
13.735,TraderOne,Tick,50,50,0,0,146600,147200,2934,27066,27066,OK
14.0,TraderOne,Tick,50,50,0,0,146600,147200,2934,27066,27066,OK
14.25,TraderOne,Tick,50,50,0,0,146600,147200,2934,27066,27066,OK
14.516,TraderOne,Tick,75,50,25,0,147000,147200,3669,-3648669,26331,OK
14.75,TraderOne,Tick,75,50,25,0,147000,147200,3669,-3648669,26331,OK
14.953,TraderOne,Tick,75,50,25,0,147000,147200,3669,-3648669,26331,OK
15.219,TraderOne,Tick,75,50,25,0,147000,147200,3669,-3648669,26331,OK
15.453,TraderOne,Tick,75,50,25,0,146900,147200,3669,-3648669,26331,OK
15.797,TraderOne,Tick,75,50,25,0,146900,146800,3669,-3648669,23831,OK
15.985,TraderOne,Tick,75,50,25,0,146900,146900,3669,-3648669,23831,OK
16.266,TraderOne,Tick,75,50,25,0,146900,146900,3669,-3648669,23831,OK
16.469,TraderOne,Tick,75,50,25,0,146900,146900,3669,-3648669,23831,OK
16.703,TraderOne,Tick,75,50,25,0,146900,146900,3669,-3648669,23831,OK
17.0,TraderOne,Tick,75,50,25,0,146900,146900,3669,-3648669,23831,OK
17.297,TraderOne,Tick,75,50,25,0,146900,146900,3669,-3648669,23831,OK
17.485,TraderOne,Tick,75,50,25,0,146900,146900,3669,-3648669,23831,OK
17.813,TraderOne,Tick,75,50,25,0,146900,146900,3669,-3648669,23831,OK
18.016,TraderOne,Tick,75,50,25,0,146600,146900,3669,-3648669,18831,OK
18.25,TraderOne,Tick,75,50,25,0,146600,146900,3669,-3648669,18831,OK
18.516,TraderOne,Tick,75,50,25,0,146600,147100,3669,-3648669,23831,OK
18.766,TraderOne,Tick,75,50,25,0,146600,147100,3669,-3648669,23831,OK
19.016,TraderOne,Tick,75,50,25,0,146600,147100,3669,-3648669,23831,OK
19.282,TraderOne,Tick,75,50,25,0,146600,147100,3669,-3648669,23831,OK
19.516,TraderOne,Tick,75,50,25,0,146600,147200,3669,-3648669,26331,OK
19.75,TraderOne,Tick,75,50,25,0,146600,147200,3669,-3648669,26331,OK
19.985,TraderOne,Tick,75,50,25,0,146600,147200,3669,-3648669,26331,OK
20.25,TraderOne,Tick,75,50,25,0,146600,147200,3669,-3648669,26331,OK
20.547,TraderOne,Tick,75,50,25,0,146900,147900,3669,-3648669,43831,OK
20.735,TraderOne,Tick,75,50,25,0,147200,147900,3669,-3648669,43831,OK
20.969,TraderOne,Tick,75,50,25,0,147500,147900,3669,-3648669,43831,OK
21.219,TraderOne,Tick,75,50,25,0,147500,147900,3669,-3648669,43831,OK
21.469,TraderOne,Tick,75,50,25,0,147500,147900,3669,-3648669,43831,OK
21.735,TraderOne,Tick,75,50,25,0,147500,147900,3669,-3648669,43831,OK
21.985,TraderOne,Tick,75,50,25,0,147500,148000,3669,-3648669,46331,OK
22.344,TraderOne,Tick,75,50,25,0,147500,148100,3669,-3648669,48831,OK
22.563,TraderOne,Tick,75,50,25,0,147500,148100,3669,-3648669,48831,OK
22.766,TraderOne,Tick,75,50,25,0,147500,148100,3669,-3648669,48831,OK
23.047,TraderOne,Tick,75,50,25,0,147500,148000,3669,-3648669,46331,OK
23.266,TraderOne,Tick,75,50,25,0,147500,148000,3669,-3648669,46331,OK
23.516,TraderOne,Tick,75,75,0,0,147600,147700,4407,40593,40593,OK
23.766,TraderOne,Tick,75,75,0,0,147600,147700,4407,40593,40593,OK
23.985,TraderOne,Tick,75,75,0,0,147600,147700,4407,40593,40593,OK
24.282,TraderOne,Tick,75,75,0,0,147600,147700,4407,40593,40593,OK
24.469,TraderOne,Tick,75,75,0,0,147600,147700,4407,40593,40593,OK
24.766,TraderOne,Tick,75,75,0,0,147400,148100,4407,40593,40593,OK
24.985,TraderOne,Tick,75,75,0,0,147400,148100,4407,40593,40593,OK
25.297,TraderOne,Tick,75,75,0,0,147700,148200,4407,40593,40593,OK
25.5,TraderOne,Tick,75,75,0,0,147700,147900,4407,40593,40593,OK
25.735,TraderOne,Tick,75,75,0,0,147700,147900,4407,40593,40593,OK
26.032,TraderOne,Tick,75,75,0,0,147700,147900,4407,40593,40593,OK
26.235,TraderOne,Tick,75,75,0,0,147700,147900,4407,40593,40593,OK
26.5,TraderOne,Tick,75,75,0,0,147400,147900,4407,40593,40593,OK
26.782,TraderOne,Tick,75,75,0,0,147400,147900,4407,40593,40593,OK
27.016,TraderOne,Tick,75,75,0,0,147400,147900,4407,40593,40593,OK
27.235,TraderOne,Tick,75,75,0,0,147400,147900,4407,40593,40593,OK
27.5,TraderOne,Tick,75,75,0,0,147400,147900,4407,40593,40593,OK
27.75,TraderOne,Tick,100,75,25,0,147700,147800,5145,-3652645,39855,OK
27.969,TraderOne,Tick,100,75,25,0,147200,147800,5145,-3652645,37355,OK
28.235,TraderOne,Tick,100,75,25,0,147200,147800,5145,-3652645,37355,OK
28.485,TraderOne,Tick,100,75,25,0,147700,147800,5145,-3652645,39855,OK
28.813,TraderOne,Tick,100,75,25,0,147700,147600,5145,-3652645,39855,OK
29.016,TraderOne,Tick,100,75,25,0,147700,147600,5145,-3652645,39855,OK
29.219,TraderOne,Tick,100,75,25,0,147700,147600,5145,-3652645,39855,OK
29.453,TraderOne,Tick,100,75,25,0,147700,147600,5145,-3652645,39855,OK
29.813,TraderOne,Tick,100,75,25,0,147700,147600,5145,-3652645,39855,OK
29.969,TraderOne,Tick,100,75,25,0,147700,147600,5145,-3652645,39855,OK
30.219,TraderOne,Tick,100,75,25,0,147700,147600,5145,-3652645,39855,OK
30.563,TraderOne,Tick,100,75,25,0,147700,147600,5145,-3652645,39855,OK
30.75,TraderOne,Tick,100,75,25,0,147700,147400,5145,-3652645,37355,OK
31.0,TraderOne,Tick,125,75,50,0,147000,147400,5880,-7328380,31620,OK
31.266,TraderOne,Tick,125,75,50,0,147000,147400,5880,-7328380,31620,OK
31.5,TraderOne,Tick,143,75,68,0,147000,147400,6409,-9974909,34691,OK
31.797,TraderOne,Tick,143,75,68,0,147000,147400,6409,-9974909,34691,OK
32.016,TraderOne,Tick,143,75,68,0,147000,147400,6409,-9974909,34691,OK
32.235,TraderOne,Tick,143,75,68,0,147000,147400,6409,-9974909,34691,OK
32.5,TraderOne,Tick,143,75,68,0,147000,147400,6409,-9974909,34691,OK
32.735,TraderOne,Tick,143,75,68,0,147000,147600,6409,-9974909,48291,OK
33.063,TraderOne,Tick,143,75,68,0,147000,147600,6409,-9974909,48291,OK
33.282,TraderOne,Tick,143,75,68,0,147000,147600,6409,-9974909,48291,OK
33.469,TraderOne,Tick,143,75,68,0,147000,147600,6409,-9974909,48291,OK
33.75,TraderOne,Tick,143,75,68,0,146900,147600,6409,-9974909,48291,OK
34.047,TraderOne,Tick,143,75,68,0,146900,147600,6409,-9974909,48291,OK
34.25,TraderOne,Tick,143,75,68,0,146900,147200,6409,-9974909,21091,OK
34.485,TraderOne,Tick,143,75,68,0,146900,147200,6409,-9974909,21091,OK
34.797,TraderOne,Tick,143,75,68,0,146900,147200,6409,-9974909,21091,OK
34.985,TraderOne,Tick,143,75,68,0,146900,147200,6409,-9974909,21091,OK
35.25,TraderOne,Tick,143,75,68,0,146900,147300,6409,-9974909,27891,OK
35.625,TraderOne,Tick,143,75,68,0,147100,147000,6409,-9974909,27891,OK
35.703,TraderOne,Tick,143,75,68,0,147100,147000,6409,-9974909,27891,OK
36.0,TraderOne,Tick,143,75,68,0,147100,147000,6409,-9974909,27891,OK
36.282,TraderOne,Tick,143,75,68,0,147100,147000,6409,-9974909,27891,OK
36.547,TraderOne,Tick,143,75,68,0,147100,147000,6409,-9974909,27891,OK
36.797,TraderOne,Tick,143,100,43,0,147200,147000,7145,-6295645,33955,OK
37.0,TraderOne,Tick,143,100,43,0,147200,147000,7145,-6295645,33955,OK
37.266,TraderOne,Tick,143,100,43,0,147200,147000,7145,-6295645,33955,OK
37.5,TraderOne,Tick,143,100,43,0,147200,147300,7145,-6295645,33955,OK
37.797,TraderOne,Tick,143,100,43,0,147200,147300,7145,-6295645,33955,OK
38.016,TraderOne,Tick,143,100,43,0,147200,147300,7145,-6295645,33955,OK
38.313,TraderOne,Tick,143,100,43,0,147200,147300,7145,-6295645,33955,OK
38.547,TraderOne,Tick,143,100,43,0,147200,147300,7145,-6295645,33955,OK
38.735,TraderOne,Tick,143,100,43,0,147200,147300,7145,-6295645,33955,OK
38.953,TraderOne,Tick,143,100,43,0,147200,147300,7145,-6295645,33955,OK
39.219,TraderOne,Tick,143,100,43,0,147000,147300,7145,-6295645,29655,OK
39.453,TraderOne,Tick,143,100,43,0,147700,147300,7145,-6295645,46855,OK
39.703,TraderOne,Tick,143,100,43,0,147700,147300,7145,-6295645,46855,OK
40.047,TraderOne,Tick,143,100,43,0,147700,147300,7145,-6295645,46855,OK
40.203,TraderOne,Tick,143,100,43,0,147700,147300,7145,-6295645,46855,OK
40.532,TraderOne,Tick,143,100,43,0,147900,147300,7145,-6295645,46855,OK
40.766,TraderOne,Tick,143,100,43,0,147900,147300,7145,-6295645,46855,OK
41.0,TraderOne,Tick,143,100,43,0,147900,147300,7145,-6295645,46855,OK
41.219,TraderOne,Tick,143,100,43,0,147900,147300,7145,-6295645,46855,OK
41.485,TraderOne,Tick,143,100,43,0,147900,147300,7145,-6295645,46855,OK
41.766,TraderOne,Tick,143,100,43,0,147900,147300,7145,-6295645,46855,OK
42.0,TraderOne,Tick,143,100,43,0,147900,147300,7145,-6295645,46855,OK
42.266,TraderOne,Tick,143,100,43,0,147700,147200,7145,-6295645,42555,OK
42.453,TraderOne,Tick,143,100,43,0,147700,147200,7145,-6295645,42555,OK
42.797,TraderOne,Tick,143,100,43,0,147700,147200,7145,-6295645,42555,OK
43.016,TraderOne,Tick,143,100,43,0,147700,147200,7145,-6295645,42555,OK
43.203,TraderOne,Tick,143,100,43,-43,147700,147200,7145,34944,43544,OK
43.5,TraderOne,Tick,143,100,43,-43,147700,147200,7145,34944,43544,OK
43.766,TraderOne,Tick,143,100,43,-43,147700,147400,7145,34944,43544,OK
44.032,TraderOne,Tick,143,100,43,-43,147700,147400,7145,34944,43544,OK
44.203,TraderOne,Tick,143,100,43,-43,147700,147400,7145,34944,43544,OK
44.516,TraderOne,Tick,143,100,43,-43,147700,147400,7145,34944,43544,OK
44.797,TraderOne,Tick,143,100,43,-43,147700,147400,7145,34944,43544,OK
44.985,TraderOne,Tick,143,100,43,-43,147700,147400,7145,34944,43544,OK
45.282,TraderOne,Tick,143,100,43,-43,147700,147500,7145,34944,43544,OK
45.532,TraderOne,Tick,143,100,43,-43,147700,147500,7145,34944,43544,OK
45.735,TraderOne,Tick,143,118,25,-43,147400,147500,7676,2687613,30113,OK
46.016,TraderOne,Tick,143,118,25,-43,147400,147500,7676,2687613,30113,OK
46.282,TraderOne,Tick,143,118,25,-43,147400,147500,7676,2687613,30113,OK
46.516,TraderOne,Tick,143,118,25,-43,147400,147500,7676,2687613,30113,OK
46.703,TraderOne,Tick,143,118,25,-43,147400,147500,7676,2687613,30113,OK
47.0,TraderOne,Tick,143,118,25,-43,147400,147500,7676,2687613,30113,OK
47.25,TraderOne,Tick,143,118,25,-43,147400,147500,7676,2687613,30113,OK
47.485,TraderOne,Tick,143,118,25,-43,147400,147500,7676,2687613,30113,OK
47.735,TraderOne,Tick,143,118,25,-43,147700,147500,7676,2687613,37613,OK
48.032,TraderOne,Tick,143,118,25,-43,147700,147500,7676,2687613,37613,OK
48.266,TraderOne,Tick,143,118,25,-43,147100,147500,7676,2687613,27613,OK
48.485,TraderOne,Tick,143,118,25,-43,147100,147500,7676,2687613,27613,OK
48.766,TraderOne,Tick,143,118,25,-43,147100,147500,7676,2687613,27613,OK
49.0,TraderOne,Tick,143,118,25,-43,147100,147500,7676,2687613,27613,OK
49.266,TraderOne,Tick,143,118,25,-43,147100,147500,7676,2687613,27613,OK
49.469,TraderOne,Tick,143,118,25,-43,147100,147500,7676,2687613,27613,OK
49.797,TraderOne,Tick,143,118,25,-43,147100,147500,7676,2687613,27613,OK
49.953,TraderOne,Tick,143,118,25,-43,147100,147500,7676,2687613,27613,OK
50.203,TraderOne,Tick,143,118,25,-43,147100,147500,7676,2687613,27613,OK
50.516,TraderOne,Tick,143,118,25,-43,147900,147500,7676,2687613,37613,OK
50.75,TraderOne,Tick,143,118,25,-43,147900,147500,7676,2687613,37613,OK
50.953,TraderOne,Tick,143,118,25,-43,147900,147500,7676,2687613,37613,OK
51.282,TraderOne,Tick,143,143,0,-43,147300,147500,8412,6369377,26877,OK
51.516,TraderOne,Tick,143,143,0,-43,147300,147500,8412,6369377,26877,OK
51.703,TraderOne,Tick,143,143,0,-43,147300,147500,8412,6369377,26877,OK
52.0,TraderOne,Tick,143,143,0,-43,147300,147300,8412,6369377,35477,OK
52.203,TraderOne,Tick,143,143,0,-43,147300,147300,8412,6369377,35477,OK
52.453,TraderOne,Tick,143,143,0,-43,147300,147300,8412,6369377,35477,OK
52.782,TraderOne,Tick,143,143,0,-43,147300,147300,8412,6369377,35477,OK
53.0,TraderOne,Tick,143,143,0,-43,147300,147300,8412,6369377,35477,OK
53.25,TraderOne,Tick,143,143,0,-43,147300,147300,8412,6369377,35477,OK
53.5,TraderOne,Tick,143,143,0,-43,147300,147300,8412,6369377,35477,OK
53.797,TraderOne,Tick,143,143,0,-43,147300,147300,8412,6369377,35477,OK
54.016,TraderOne,Tick,143,143,0,-43,147900,147300,8412,6369377,35477,OK
54.25,TraderOne,Tick,143,143,0,-43,147900,147300,8412,6369377,35477,OK
54.547,TraderOne,Tick,143,143,0,-43,147900,147200,8412,6369377,39777,OK
54.797,TraderOne,Tick,143,143,0,-43,147900,147200,8412,6369377,39777,OK
55.047,TraderOne,Tick,143,143,0,-43,147900,147200,8412,6369377,39777,OK
55.297,TraderOne,Tick,143,143,0,-43,147300,147300,8412,6369377,35477,OK
55.532,TraderOne,Tick,143,143,0,-43,147300,146900,8412,6369377,52677,OK
55.719,TraderOne,Tick,143,143,0,-43,146900,146900,8412,6369377,52677,OK
56.032,TraderOne,Tick,143,143,0,-43,146900,147100,8412,6369377,44077,OK
56.219,TraderOne,Tick,143,143,0,-43,146900,147100,8412,6369377,44077,OK
56.5,TraderOne,Tick,143,143,0,-43,146900,147100,8412,6369377,44077,OK
56.797,TraderOne,Tick,143,143,0,-43,146900,147100,8412,6369377,44077,OK
57.0,TraderOne,Tick,143,143,0,-43,146900,147100,8412,6369377,44077,OK
57.25,TraderOne,Tick,143,143,0,-43,146900,147100,8412,6369377,44077,OK
57.485,TraderOne,Tick,143,143,0,-43,146900,146800,8412,6369377,56977,OK
57.766,TraderOne,Tick,143,143,0,-43,146900,146600,8412,6369377,65577,OK
58.016,TraderOne,Tick,143,143,0,-43,146900,146600,8412,6369377,65577,OK
58.203,TraderOne,Tick,143,143,0,-43,146900,146600,8412,6369377,65577,OK
58.532,TraderOne,Tick,143,143,0,-43,146900,146700,8412,6369377,61277,OK
58.719,TraderOne,Tick,143,143,0,-43,146900,146700,8412,6369377,61277,OK
59.0,TraderOne,Tick,143,168,-25,-43,146900,146700,9146,10041143,60543,OK
59.282,TraderOne,Tick,143,168,-25,-43,146900,146700,9146,10041143,60543,OK
59.532,TraderOne,Tick,143,168,-25,-43,146900,146500,9146,10041143,74143,OK
59.735,TraderOne,Tick,143,168,-25,-43,146900,146500,9146,10041143,74143,OK
59.969,TraderOne,Tick,143,168,-25,-43,146900,146500,9146,10041143,74143,OK
60.313,TraderOne,Tick,143,168,-25,-43,146900,146700,9146,10041143,60543,OK
60.532,TraderOne,Tick,143,168,-25,-43,146900,146700,9146,10041143,60543,OK
60.782,TraderOne,Tick,143,168,-25,-43,146900,146600,9146,10041143,67343,OK
61.063,TraderOne,Tick,143,193,-50,-43,146900,146500,9880,13712909,78409,OK
61.25,TraderOne,Tick,143,193,-50,-43,146900,146500,9880,13712909,78409,OK
61.516,TraderOne,Tick,143,193,-50,-43,146900,146500,9880,13712909,78409,OK
61.735,TraderOne,Tick,143,193,-50,-43,146900,146500,9880,13712909,78409,OK
62.016,TraderOne,Tick,143,193,-50,-43,146900,146500,9880,13712909,78409,OK
62.25,TraderOne,Tick,143,193,-50,-43,146900,146500,9880,13712909,78409,OK
62.5,TraderOne,Tick,143,193,-50,-43,146700,146300,9880,13712909,97009,OK
62.719,TraderOne,Tick,143,193,-50,-43,146700,146300,9880,13712909,97009,OK
62.985,TraderOne,Tick,143,193,-50,-43,146700,146300,9880,13712909,97009,OK
63.297,TraderOne,Tick,143,193,-50,-43,146700,146300,9880,13712909,97009,OK
63.532,TraderOne,Tick,143,193,-50,50,146700,146300,9880,97709,87709,OK
63.766,TraderOne,Tick,143,193,-50,50,146700,146300,9880,97709,87709,OK
64.032,TraderOne,Tick,143,193,-50,50,146700,146300,9880,97709,87709,OK
64.188,TraderOne,Tick,143,193,-50,50,146700,146300,9880,97709,87709,OK
64.547,TraderOne,Tick,143,193,-50,50,146700,146300,9880,97709,87709,OK
64.719,TraderOne,Tick,143,193,-50,50,146700,146300,9880,97709,87709,OK
65.0,TraderOne,Tick,143,193,-50,50,146700,146300,9880,97709,87709,OK
65.219,TraderOne,Tick,143,193,-50,50,146700,146900,9880,97709,107709,OK
65.547,TraderOne,Tick,143,193,-50,50,146700,146900,9880,97709,107709,OK
65.703,TraderOne,Tick,143,193,-50,50,146700,146900,9880,97709,107709,OK
66.0,TraderOne,Tick,143,193,-50,50,146600,146900,9880,97709,107709,OK
66.203,TraderOne,Tick,143,193,-50,50,146600,146900,9880,97709,107709,OK
66.532,TraderOne,Tick,143,193,-50,50,147300,146900,9880,97709,87709,OK
66.782,TraderOne,Tick,143,193,-50,50,146500,146900,9880,97709,107709,OK
67.0,TraderOne,Tick,143,193,-50,50,146500,146900,9880,97709,107709,OK
67.25,TraderOne,Tick,143,193,-50,50,146500,146900,9880,97709,107709,OK
67.532,TraderOne,Tick,143,193,-50,50,146500,146900,9880,97709,107709,OK
67.735,TraderOne,Tick,143,193,-50,50,146500,146900,9880,97709,107709,OK
68.016,TraderOne,Tick,143,193,-50,50,146500,146900,9880,97709,107709,OK
68.25,TraderOne,Tick,143,193,-50,50,146900,146900,9880,97709,97709,OK
68.516,TraderOne,Tick,143,193,-50,50,146500,146900,9880,97709,107709,OK
68.719,TraderOne,Tick,143,193,-50,50,146500,147200,9880,97709,107709,OK
69.016,TraderOne,Tick,143,193,-50,50,146500,147200,9880,97709,107709,OK
69.282,TraderOne,Tick,143,193,-50,50,147500,147200,9880,97709,87709,OK
69.547,TraderOne,Tick,143,193,-50,50,147500,147200,9880,97709,87709,OK
69.75,TraderOne,Tick,143,193,-50,50,147500,147300,9880,97709,87709,OK
70.0,TraderOne,Tick,143,193,-50,50,147500,147300,9880,97709,87709,OK
70.235,TraderOne,Tick,143,193,-50,50,147500,147300,9880,97709,87709,OK
70.469,TraderOne,Tick,143,193,-50,50,147500,147300,9880,97709,87709,OK
70.75,TraderOne,Tick,143,193,-50,50,146400,147300,9880,97709,107709,OK
70.985,TraderOne,Tick,143,193,-50,50,146400,147300,9880,97709,107709,OK
71.25,TraderOne,Tick,143,193,-50,50,146400,147300,9880,97709,107709,OK
71.532,TraderOne,Tick,143,193,-50,50,146400,147300,9880,97709,107709,OK
71.703,TraderOne,Tick,143,193,-50,50,146400,147300,9880,97709,107709,OK
72.0,TraderOne,Tick,143,193,-50,50,146400,147300,9880,97709,107709,OK
72.25,TraderOne,Tick,143,193,-50,50,146400,147300,9880,97709,107709,OK
72.547,TraderOne,Tick,143,193,-50,50,147500,147300,9880,97709,87709,OK
72.75,TraderOne,Tick,143,193,-50,50,147500,147300,9880,97709,87709,OK
73.0,TraderOne,Tick,143,193,-50,50,147600,147300,9880,97709,87709,OK
73.25,TraderOne,Tick,143,193,-50,50,147600,147300,9880,97709,87709,OK
73.469,TraderOne,Tick,143,193,-50,50,147600,147200,9880,97709,87709,OK
73.75,TraderOne,Tick,143,193,-50,50,147600,147200,9880,97709,87709,OK
74.016,TraderOne,Tick,143,193,-50,50,147600,147200,9880,97709,87709,OK
74.235,TraderOne,Tick,143,193,-50,50,147600,147200,9880,97709,87709,OK
74.485,TraderOne,Tick,143,193,-50,50,147600,147200,9880,97709,87709,OK
74.75,TraderOne,Tick,143,193,-50,50,147600,147200,9880,97709,87709,OK
75.032,TraderOne,Tick,143,193,-50,50,147600,147200,9880,97709,87709,OK
75.297,TraderOne,Tick,143,193,-50,50,147600,147400,9880,97709,87709,OK
75.547,TraderOne,Tick,143,193,-50,50,147600,147400,9880,97709,87709,OK
75.75,TraderOne,Tick,143,193,-50,50,147600,147400,9880,97709,87709,OK
76.032,TraderOne,Tick,143,193,-50,50,147600,147400,9880,97709,87709,OK
76.282,TraderOne,Tick,143,193,-50,50,147600,147400,9880,97709,87709,OK
76.516,TraderOne,Tick,168,193,-25,50,147600,147500,10618,-3593029,91971,OK
76.797,TraderOne,Tick,168,193,-25,50,147600,147600,10618,-3593029,96971,OK
77.047,TraderOne,Tick,168,193,-25,50,147600,147600,10618,-3593029,96971,OK
77.25,TraderOne,Tick,168,193,-25,50,147600,147600,10618,-3593029,96971,OK
77.516,TraderOne,Tick,168,193,-25,50,147600,147600,10618,-3593029,96971,OK
77.782,TraderOne,Tick,168,193,-25,50,147500,147600,10618,-3593029,99471,OK
78.016,TraderOne,Tick,168,193,-25,50,147500,147600,10618,-3593029,99471,OK
78.282,TraderOne,Tick,168,193,-25,50,147500,147600,10618,-3593029,99471,OK
78.453,TraderOne,Tick,168,193,-25,50,147500,147600,10618,-3593029,99471,OK
78.719,TraderOne,Tick,168,193,-25,50,147500,147600,10618,-3593029,99471,OK
79.016,TraderOne,Tick,169,193,-24,50,147400,147600,10647,-3740458,101942,OK
79.219,TraderOne,Tick,169,193,-24,50,147400,147600,10647,-3740458,101942,OK
79.5,TraderOne,Tick,169,193,-24,50,147400,147600,10647,-3740458,101942,OK
79.797,TraderOne,Tick,169,193,-24,50,147600,148500,10647,-3740458,125342,OK
79.969,TraderOne,Tick,169,193,-24,50,147600,148400,10647,-3740458,122742,OK
80.235,TraderOne,Tick,169,193,-24,50,147600,148400,10647,-3740458,122742,OK
80.547,TraderOne,Tick,169,193,-24,50,147600,148400,10647,-3740458,122742,OK
80.719,TraderOne,Tick,169,193,-24,50,147600,148400,10647,-3740458,122742,OK
80.953,TraderOne,Tick,194,193,1,50,147900,148400,11387,-7438698,129502,OK
81.282,TraderOne,Tick,194,193,1,50,147900,148200,11387,-7438698,119302,OK
81.532,TraderOne,Tick,219,193,26,50,147900,148400,12127,-11136938,136262,OK
81.75,TraderOne,Tick,219,193,26,50,148000,148400,12127,-11136938,136262,OK
82.016,TraderOne,Tick,219,193,26,50,148000,148400,12127,-11136938,136262,OK
82.25,TraderOne,Tick,219,193,26,50,148000,148400,12127,-11136938,136262,OK
82.547,TraderOne,Tick,219,193,26,50,148200,148800,12127,-11136938,166662,OK
82.719,TraderOne,Tick,219,193,26,50,148200,148800,12127,-11136938,166662,OK
82.985,TraderOne,Tick,219,193,26,50,148200,148800,12127,-11136938,166662,OK
83.203,TraderOne,Tick,219,193,26,50,148300,148800,12127,-11136938,166662,OK
83.516,TraderOne,Tick,219,193,26,50,148300,148800,12127,-11136938,166662,OK
